"BehaviorSpace results (NetLogo 6.2.0)"
"multifirm_baseline.nlogo"
"double-firm_varying_framework_duration"
"09/08/2021 17:18:01:515 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","n-firms","transactions-per-month","n-households","setup-structure","index-in-use","mean-new-agreements-per-month","firm-memory-constant","mean-new-agreements-per-month","framework-duration","[step]","TOTAL-BANKRUPT-FIRMS / n-firms","mean UNEMPLOYMENT-RATES","mean MEAN-PRICES","standard-deviation MEAN-PRICES","mean [lifetime-profits] of firms","mean BANKRUPT-FIRM-PROFITS"
"4","30","1","500","two-layer","no index","1","0.8","2","4","200","6.966666666666667","0.057850000000000054","1.1791240299516437","0.02032377571717215","34.36004119559164","-14.031461080913404"
"6","30","1","500","two-layer","no index","1","0.8","2","6","200","8.433333333333334","0.05427000000000001","1.1673756114471001","0.018270426275552983","-23.5511416852813","-18.05301437756155"
"8","30","1","500","two-layer","no index","1","0.8","2","8","200","9","0.05330000000000001","1.157863918804937","0.021238164546613883","-8.582799762521068","-2.0049531003068353"
"7","30","1","500","two-layer","no index","1","0.8","2","7","200","7.366666666666666","0.062410000000000035","1.187000225438117","0.025748868124196272","-41.65934644124172","-2.2168414514853563"
"5","30","1","500","two-layer","no index","1","0.8","2","5","200","7.466666666666667","0.0583","1.1838175590888778","0.019312516484459682","-11.34222778360632","-6.226274002032072"
"2","30","1","500","two-layer","no index","1","0.8","2","2","200","7.033333333333333","0.052210000000000006","1.1538412218372367","0.02400367850766587","-14.756122732524018","0.37626752192034657"
"3","30","1","500","two-layer","no index","1","0.8","2","3","200","7.833333333333333","0.056780000000000025","1.1735343413219763","0.02014224792391888","-6.30922658371293","-8.861845263335407"
"1","30","1","500","two-layer","no index","1","0.8","2","1","200","6.9","0.0592","1.1767961622216077","0.02051222754108478","-13.428517978228951","-5.857019004234311"
"9","30","1","500","two-layer","no index","1","0.8","2","9","200","7.133333333333334","0.05517000000000001","1.1558696615443402","0.02334619156395824","-0.20598814641406685","-0.0028006207322144377"
"10","30","1","500","two-layer","no index","1","0.8","2","10","200","7.533333333333333","0.05418999999999999","1.168973817136781","0.011745601733463125","-3.957161611434579","-4.299738666690562"
