BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Varying-productivity,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2022 18:23:02:970 -0500,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration,mean-age,mean-inventories
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,0.999049358,0,1864.463239,0,-100,0,0,0.002062019,0,31.07438731
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.282,0.999049358,0.158748199,1788.367746,0,-100,0,0,0.002060119,1,8.786361006
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.284,1.018788153,1.797634234,939.3818405,0,-100,0.1,3,0.002063783,1.9,6.712658714
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.398,1.031124593,2.321070001,905.7704327,0,-100,0.033333333,4,0.002066484,2.833333333,12.31222133
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.454,1.047056763,2.595712869,776.9066591,0,-100,0.133333333,8,0.002074233,3.533333333,7.991357294
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.52,1.062485757,2.653837235,676.2632865,0,-100,0.033333333,9,0.002075889,4.4,13.30444827
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.568,1.074754021,2.643424371,617.8933871,0,-100,0.1,12,0.002084541,5,14.28157988
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.618,1.086799369,2.645610388,675.3714836,0.435027458,-99.56497254,0.033333333,13,0.002087747,5.8,13.91338714
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.622,1.102597739,2.598957611,624.6265737,2.395858362,-97.16911418,0.066666667,15,0.002094909,6.333333333,12.53312225
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.644,1.109500569,2.591491759,615.796875,3.651399432,-95.91357311,0.033333333,16,0.002098768,7.233333333,10.25655975
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,10,0.676,1.118961946,2.563264826,603.0413212,4.579594834,-93.72983664,0,16,0.002101221,8.233333333,10.40518237
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,11,0.694,1.134293554,2.518883236,587.6683174,4.931566733,-92.57637234,0,16,0.002106526,9.233333333,9.941238461
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,12,0.674,1.149767642,2.482844399,613.5180299,5.947772956,-92.04623629,0.066666667,18,0.002111102,9.8,7.264569702
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,13,0.652,1.16642974,2.419418468,651.5548704,8.044905299,-89.10391376,0.033333333,19,0.002116947,10.5,5.975251051
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,14,0.624,1.183163001,2.348817207,744.3384488,7.959975725,-88.84931906,0.033333333,20,0.002122182,11.33333333,5.801845148
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,15,0.574,1.198491787,2.278697207,793.2785414,6.397290395,-89.9158934,0.066666667,22,0.002130791,11.63333333,2.50645516
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,16,0.498,1.21850607,2.194420285,907.0379117,5.404491668,-89.2228529,0,22,0.002137164,12.63333333,3.646858103
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,17,0.44,1.231552724,2.066315929,1064.928065,5.934404069,-87.24116831,0,22,0.002142555,13.63333333,3.149255953
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,18,0.344,1.234949986,2.060097988,876.4511395,5.67171907,-86.41689199,0,22,0.002148664,14.63333333,6.025490172
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,19,0.368,1.239964853,1.910681232,1244.859972,4.799357023,-86.78080904,0.033333333,23,0.002155506,15.5,2.091678976
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,20,0.286,1.241160781,1.753717897,1382.285583,3.556493735,-85.91453431,0,23,0.00216085,16.5,0.640492866
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,21,0.178,1.242149371,1.608936583,1378.356686,3.556493735,-85.91453431,0,23,0.002164808,17.5,2
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,22,0.124,1.243922324,1.409777226,1516.426701,4.598429419,-84.81309267,0,23,0.002166735,18.5,5.252811948
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,23,0.102,1.239326523,1.238961577,1499.681608,4.228355443,-84.35889033,0,23,0.002167884,19.5,9.41768119
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,24,0.1,1.237232966,1.05976525,1518.396415,5.841868312,-82.58259235,0,23,0.002166028,20.5,14.68220612
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,25,0.13,1.232686645,0.833864376,1505.73265,12.56868599,-75.58941849,0.033333333,24,0.002160517,20.7,17.7059081
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,26,0.144,1.228541115,0.661599337,1506.367299,16.89926105,-68.39666144,0,24,0.002154882,21.7,20.94165633
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,27,0.166,1.219743167,0.524766591,1506.02507,20.46309117,-59.31263871,0,24,0.002145875,22.7,22.32753176
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,28,0.154,1.213604142,0.392801785,1506.052078,23.20804338,-48.46489523,0,24,0.002135153,23.7,24.87983067
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,29,0.19,1.208351596,0.288484459,1515.394056,25.05193675,-36.08915146,0,24,0.002126898,24.7,24.99169545
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,30,0.168,1.20344036,0.211720464,1519.002933,26.56145209,-23.84564671,0,24,0.002124733,25.7,26.31908801
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,31,0.176,1.199076853,0.145198389,1528.111208,33.2085436,-7.363209471,0,24,0.002123756,26.7,26.88204775
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,32,0.16,1.195821041,0.094548166,1530.574378,30.95752641,1.831903846,0,24,0.002125442,27.7,28.36290182
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,33,0.17,1.187945128,0.068083511,1541.89375,29.52658556,14.11209101,0,24,0.002130443,28.7,28.76409376
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,34,0.188,1.183099898,0.045954367,1545.873618,28.96007701,28.27555989,0,24,0.002139652,29.7,27.98497317
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,35,0.154,1.174690686,0.031840393,1558.013365,28.50667161,45.10345939,0,24,0.00215544,30.7,28.79642379
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,36,0.168,1.165288453,0.018239302,1572.550235,27.29875852,58.0958215,0,24,0.002170798,31.7,28.18242161
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,37,0.166,1.159726246,0.011283742,1581.259782,26.88429226,69.29166635,0,24,0.002182462,32.7,27.2658808
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,38,0.128,1.154067411,0.018716019,1561.344905,28.17989961,74.70448617,0.033333333,25,0.002199388,32.83333333,26.77941875
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,39,0.138,1.151582128,0.023256263,1622.215531,37.21809151,96.40550751,0,25,0.002222703,33.83333333,26.58056771
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,40,0.158,1.142785143,0.021427019,1607.584398,36.73157048,113.027183,0,25,0.00225298,34.83333333,25.61942112
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,41,0.142,1.137733665,0.018528145,1599.968568,35.26734641,127.414506,0,25,0.002282884,35.83333333,25.87046886
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,42,0.122,1.130840545,0.010926586,1613.365901,27.18383637,137.4541818,0,25,0.002302922,36.83333333,26.96660551
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,43,0.152,1.124202889,0.008004198,1605.675443,25.37834882,149.3423067,0.033333333,26,0.002320916,37.66666667,24.48315109
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,44,0.1,1.122382569,0.008471233,1636.513052,30.77146699,163.3385237,0,26,0.002344822,38.66666667,26.18271603
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,45,0.092,1.122467614,0.005954652,1629.931002,35.77030398,176.7526428,0,26,0.00237887,39.66666667,28.60168261
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,46,0.12,1.114654475,0.007758334,1636.687027,35.64748311,190.1850803,0,26,0.002425552,40.66666667,29.00378172
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,47,0.124,1.106538115,0.008457077,1638.823762,31.3594864,196.2951714,0.033333333,27,0.002473401,40.56666667,26.93582774
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,48,0.11,1.10166836,0.007809687,1650.638283,26.876472,208.3020368,0,27,0.002499211,41.56666667,27.49788496
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,49,0.124,1.0964196,0.011408884,1662.174624,25.94709293,222.7229822,0,27,0.002539378,42.56666667,26.84206416
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,50,0.126,1.092318416,0.011713161,1667.957188,25.57924208,238.545755,0,27,0.002591431,43.56666667,25.86849122
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,51,0.122,1.087576951,0.060093894,1562.72774,32.05021574,248.3976724,0.033333333,28,0.002651944,43.3,19.1241489
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,52,0.074,1.081508816,0.052561051,1810.864994,22.08327745,257.8673602,0,28,0.002679782,44.3,16.63698243
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,53,0.07,1.081337474,0.059354679,1635.470618,26.9286472,259.6732959,0.033333333,29,0.002708974,43.93333333,16.14081776
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,54,0.046,1.076664365,0.086646238,1652.569736,27.97362747,269.3519629,0,29,0.002753102,44.93333333,14.25669726
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,55,0.042,1.072548201,0.117214185,1775.763205,25.57431944,282.1931666,0,29,0.002785516,45.93333333,14.89792377
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,56,0.056,1.070825084,0.101394788,1664.581287,27.81495277,294.4008281,0,29,0.00283724,46.93333333,15.96728025
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,57,0.078,1.068541209,0.122530667,1647.159792,34.24447336,309.0332133,0,29,0.002889476,47.93333333,14.958909
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,58,0.082,1.067378261,0.122636332,1712.278386,29.10625085,320.5909506,0,29,0.002927241,48.93333333,12.78182895
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,59,0.054,1.067435646,0.128760931,1681.787399,24.81321634,327.7214915,0,29,0.002954543,49.93333333,12.02944139
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,60,0.05,1.065012096,0.28007567,1631.673423,23.54360426,338.8118026,0,29,0.00299955,50.93333333,6.76988202
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,61,0.044,1.06625251,0.490293603,1659.954937,21.64405066,347.8928591,0,29,0.003045679,51.93333333,4.850714294
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,62,0.016,1.068896501,0.440462099,1738.662427,24.52444009,354.6935265,0,29,0.003072743,52.93333333,6.265033769
16,TRUE,160,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,63,0.028,1.068150315,0.451382781,1625.904063,26.88424045,364.5293351,0,29,0.003090672,53.93333333,5.259619824
