BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Varying-productivity,,,,,,,,,,,,,,,,,,,,,,,
06/03/2022 16:30:50:263 -0500,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,0.999209789,0,1853.646134,0,-100,0,0,0.002062019
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.3,0.999209789,0.071977097,1814.18823,0,-100,0,0,0.002060008
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.298,1.023978001,1.588842538,1046.878323,0.911063557,-99.08893644,0.066666667,2,0.00206341
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.358,1.041801211,2.234091538,906.8591181,0.911063557,-99.08893644,0.1,5,0.002070347
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.462,1.055806092,2.465243641,897.8034082,0.911063557,-99.08893644,0.066666667,7,0.002073365
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.546,1.066236729,2.614891487,809.424226,2.509111636,-97.49088836,0,7,0.002073966
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.568,1.081660498,2.629997385,712.7699589,0.246851509,-98.15510041,0.066666667,9,0.002080785
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.6,1.100412171,2.611305276,680.4396475,0.49818655,-97.86512812,0.033333333,10,0.002085948
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.662,1.114414071,2.585695305,610.5726869,2.166430505,-95.90691188,0,10,0.002087516
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.662,1.13177946,2.514722139,587.5095518,2.744923276,-93.88028118,0.066666667,12,0.002094548
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,10,0.656,1.150981409,2.459607988,625.1013167,4.323361164,-93.08831692,0.033333333,13,0.002101757
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,11,0.656,1.168663012,2.429301276,669.9104519,2.823795742,-95.72806632,0.033333333,14,0.002108534
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,12,0.638,1.187160326,2.401306835,639.6990638,2.989441023,-94.9406538,0,14,0.002114222
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,13,0.642,1.202632798,2.337429893,690.9522214,1.091077801,-93.849576,0,14,0.002120588
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,14,0.596,1.212472645,2.284873482,773.2843769,5.554688596,-88.37858566,0,14,0.00212489
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,15,0.564,1.231253891,2.199875128,900.6233985,9.046738687,-89.29109162,0.1,17,0.002133721
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,16,0.5,1.2461765,2.096475372,995.3023856,8.945971107,-86.76658108,0,17,0.002140372
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,17,0.39,1.259973892,2.01138891,1046.947864,8.249636621,-86.24164417,0,17,0.002147311
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,18,0.334,1.266216315,1.852587324,1162.815494,8.741430395,-84.71609261,0.033333333,18,0.002156283
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,19,0.272,1.270359866,1.774839778,1216.214302,8.741430395,-84.71609261,0,18,0.002160629
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,20,0.226,1.271829417,1.953881905,677.8919922,8.288559933,-84.5159783,0.033333333,19,0.00216362
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,21,0.31,1.278897793,1.791775222,1324.230928,7.672847792,-84.63782809,0.033333333,20,0.002164312
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,22,0.26,1.286412256,1.784441295,1095.551666,9.608654263,-80.94529595,0,20,0.002163531
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,23,0.248,1.293341178,1.840923617,955.3090184,7.815839851,-82.66867169,0.033333333,21,0.002164989
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,24,0.228,1.303109919,1.763830061,1170.348554,7.815839851,-82.66867169,0,21,0.002165923
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,25,0.204,1.301227796,1.579458431,1390.570077,8.170913263,-82.31359828,0.033333333,22,0.002169751
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,26,0.156,1.300611582,1.307344523,1469.932887,8.257316126,-81.48838831,0.033333333,23,0.002170496
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,27,0.092,1.297709697,1.063671085,1486.627223,11.67718313,-77.31743667,0.033333333,24,0.002166598
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,28,0.108,1.296557345,0.950079006,1343.991095,12.86347996,-70.6239294,0,24,0.002156953
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,29,0.106,1.294039877,0.778712245,1558.0481,15.68096369,-64.19844932,0,24,0.002155475
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,30,0.114,1.291406403,0.639201536,1393.952578,18.83074547,-56.63453713,0,24,0.00214795
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,31,0.132,1.285760514,0.494730949,1500.891225,26.00229848,-42.75841672,0,24,0.002139303
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,32,0.162,1.280171161,0.372965656,1452.686869,25.91002314,-29.68677083,0,24,0.002132848
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,33,0.2,1.276828397,0.274577172,1456.460809,22.613437,-16.90492913,0,24,0.002126106
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,34,0.206,1.269247736,0.192592616,1466.983376,26.69527564,-0.21222117,0,24,0.002126673
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,35,0.246,1.261116972,0.132822277,1478.971743,32.71683304,20.28118185,0,24,0.00213685
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,36,0.238,1.253893407,0.094580671,1488.904722,35.68566224,41.9630613,0,24,0.002158633
15,TRUE,150,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,37,0.208,1.247699123,0.07039799,1495.642504,33.51059309,55.69403873,0,24,0.002162866
