BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Varying-productivity,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2022 18:23:02:970 -0500,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration,mean-age,mean-inventories
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,0.999204206,0,1717.74674,0,-100,0,0,0.002062585,0,28.62911234
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.29,0.999284133,0.361471124,1815.46444,0,-100,0.066666667,2,0.002063735,1,8.574544343
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.296,1.018219561,1.611628713,1144.851635,1.146019782,-98.85398022,0.066666667,4,0.002065594,1.933333333,5.257288674
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.362,1.027854583,2.252597515,995.2074782,1.485641336,-98.51435866,0.033333333,5,0.002068273,2.866666667,9.502742918
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.46,1.045196073,2.538471413,878.4514235,1.485641336,-98.51435866,0.066666667,7,0.002071149,3.7,9.023573211
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.508,1.055247474,2.657340422,786.7992556,0.463616089,-98.39036413,0.033333333,8,0.002074152,4.6,8.862133784
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.588,1.066479349,2.684369467,651.4632716,0.463616089,-98.39036413,0.033333333,9,0.002077198,5.433333333,11.67865967
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.606,1.085475072,2.65907084,603.8790498,1.073706791,-97.65627889,0.1,12,0.002085276,5.933333333,7.991868485
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.642,1.098164455,2.648561486,600.2815596,0.727058996,-97.64775263,0,12,0.002088235,6.933333333,10.23680377
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.682,1.117023151,2.614267489,561.3476977,0.773931067,-97.25273274,0,12,0.002090103,7.933333333,11.26863101
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,10,0.69,1.129220923,2.537658568,541.0242839,1.507977827,-96.51868598,0.033333333,13,0.002092854,8.633333333,12.09632252
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,11,0.688,1.146155681,2.509193866,567.9092674,3.575773383,-93.68282266,0.033333333,14,0.002096029,9.5,9.541013607
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,12,0.686,1.165675617,2.477180934,589.4585299,4.213436682,-92.93873877,0,14,0.002099641,10.5,9.517395943
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,13,0.668,1.17625696,2.412019811,631.0929997,3.16509335,-92.74980101,0.033333333,15,0.002106049,11.1,7.730962619
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,14,0.604,1.195213429,2.358344692,679.577586,4.929882311,-90.43576247,0.066666667,17,0.002112053,11.56666667,5.372659197
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,15,0.596,1.202070299,2.311183064,744.1589134,4.813953519,-90.35819964,0.033333333,18,0.00211882,12.1,5.067362083
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,16,0.574,1.216350281,2.252192023,829.5714956,6.48674326,-86.85357598,0,18,0.002124143,13.1,4.039978895
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,17,0.506,1.228166567,2.163695535,949.4634555,4.994573425,-84.91788552,0,18,0.002130721,14.1,3.266197047
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,18,0.45,1.247569945,2.100440453,1061.386401,5.59979424,-83.80355544,0,18,0.002138289,15.1,1.625
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,19,0.364,1.256564148,2.073969136,849.0089639,6.223530587,-83.56266928,0.033333333,19,0.002146968,15.93333333,3
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,20,0.388,1.26632179,2.229096283,416.9874314,5.584313287,-85.22602619,0.033333333,20,0.002152265,16.3,3.92415582
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,21,0.488,1.273615384,2.091319679,844.9788518,4.360169339,-86.0599705,0.066666667,22,0.002155751,16.4,3.866310749
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,22,0.426,1.2753297,1.820140514,951.5442861,8.698583187,-80.29272126,0.2,28,0.002164721,13.2,4.56715786
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,23,0.374,1.277052266,1.721140284,1138.929895,8.975374584,-75.02620329,0,28,0.002165922,14.2,2.602828029
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,24,0.302,1.279379016,1.812577879,973.0190658,9.970368879,-76.29259742,0.033333333,29,0.002171673,14.83333333,2.30445044
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,25,0.292,1.283068936,1.78122353,1132.668288,8.296737261,-76.91928108,0.033333333,30,0.002175446,15.66666667,0.834782468
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,26,0.24,1.289344961,1.795876691,1101.010273,7.941010538,-76.19035441,0,30,0.002176495,16.66666667,3.015272786
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,27,0.248,1.290991683,1.642823349,1269.004181,8.403246352,-74.23626358,0.033333333,31,0.002179622,16.86666667,3.502068411
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,28,0.212,1.28911467,1.327721839,1456.180138,7.99043893,-72.2947651,0.033333333,32,0.00218377,17.26666667,3.853376163
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,29,0.118,1.287779058,1.409263215,1123.296167,9.847497863,-69.68219056,0,32,0.002181849,18.26666667,7.252681321
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,30,0.112,1.286978711,1.236096739,1551.81233,10.86208502,-65.28511921,0,32,0.002180842,19.26666667,10.98393697
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,31,0.12,1.280718077,1.062388599,1465.531732,13.94856379,-60.65134321,0,32,0.002176481,20.26666667,16.89735076
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,32,0.146,1.274301231,0.890420738,1453.257161,19.19778753,-52.15868654,0.033333333,33,0.002169118,21,19.4749843
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,33,0.166,1.273300721,0.739429826,1464.002558,21.85858084,-40.17280511,0,33,0.00216209,22,22.59309056
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,34,0.178,1.265564162,0.591637949,1465.717278,23.36850136,-26.13073836,0,33,0.002159293,23,25.11084796
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,35,0.174,1.258653315,0.463456245,1465.612294,30.34907398,-6.491966062,0.033333333,34,0.002172974,23.56666667,26.20073799
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,36,0.194,1.251638592,0.36595735,1481.508739,33.69006962,11.4753442,0,34,0.002172061,24.56666667,26.38033394
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,37,0.226,1.244676035,0.283966304,1486.099651,34.60165422,28.36908825,0,34,0.002176466,25.56666667,24.72225208
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,38,0.184,1.237201164,0.20529059,1487.63289,34.46302117,44.03739029,0,34,0.002185847,26.56666667,25.84143939
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,39,0.182,1.233868764,0.149881358,1499.078601,22.81747865,54.81742495,0,34,0.002196851,27.56666667,26.99715268
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,40,0.19,1.222384732,0.103623749,1505.267674,25.01141044,72.24171202,0,34,0.002220405,28.56666667,27.4253466
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,41,0.198,1.211801692,0.070804318,1519.279242,27.71294969,88.55392884,0,34,0.00224275,29.56666667,26.90770519
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,42,0.156,1.203234272,0.049716506,1528.800913,27.51498175,102.3308987,0,34,0.002266055,30.56666667,28.61991793
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,43,0.176,1.196849628,0.033403532,1539.654831,33.24018484,122.4419996,0,34,0.00229031,31.56666667,28.57730071
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,44,0.174,1.191213888,0.021661022,1542.393266,31.51775007,140.5765712,0,34,0.002333846,32.56666667,28.78919183
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,45,0.164,1.180560939,0.015164087,1554.446745,27.51239962,148.6825286,0.033333333,35,0.002361255,33.13333333,26.42160303
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,46,0.148,1.174492037,0.010082341,1560.494526,29.01939087,163.8485002,0,35,0.002395891,34.13333333,27.65511883
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,47,0.14,1.166659489,0.011620281,1508.129625,30.04456862,167.2648018,0.033333333,36,0.002440395,34.06666667,23.49616977
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,48,0.106,1.159685802,0.009316089,1650.240555,33.84942787,182.8607056,0,36,0.002473984,35.06666667,24.36315126
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,49,0.092,1.154867461,0.002991619,1582.648741,30.23885446,192.5300596,0,36,0.002500248,36.06666667,28.15245891
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,50,0.132,1.142776613,0.00351587,1593.823176,32.34838673,208.1318502,0,36,0.002540437,37.06666667,28.9434221
13,TRUE,130,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,51,0.166,1.13637857,0.00216214,1604.538215,38.09996931,226.8462085,0,36,0.002599362,38.06666667,27.57860943
