BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Varying-productivity,,,,,,,,,,,,,,,,,,,,,,,
06/03/2022 16:30:50:263 -0500,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,0.999105869,0,895.7891854,0,-100,0,0,0.002061453
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.272,0.999105869,0.903301931,1398.86196,0,-100,0,0,0.002059281
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.464,1.014697367,2.081253112,957.0094746,1.707645038,-98.29235496,0.133333333,4,0.002064644
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.496,1.024343793,2.521916392,750.7072571,2.216289434,-97.78371057,0.166666667,9,0.002075034
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.5,1.035519781,2.613492946,903.0491053,2.663874671,-96.48860793,0.033333333,10,0.002077448
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.538,1.05257832,2.581999148,806.9118789,4.544972817,-93.62901523,0.033333333,11,0.002080038
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.54,1.061392726,2.60104519,761.0100882,4.966816454,-93.20717159,0.1,14,0.002087021
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.562,1.07217509,2.569550144,764.8567123,3.254453781,-91.84417898,0.066666667,16,0.002094204
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.596,1.081699329,2.56368671,764.067894,4.037668514,-90.63912061,0,16,0.002096015
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.612,1.086729376,2.590061542,726.4551354,3.542982088,-89.92874866,0,16,0.002097951
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,10,0.602,1.092963083,2.616569011,695.5208447,5.601513997,-91.68704724,0.066666667,18,0.00210252
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,11,0.638,1.106840606,2.563261299,678.0375789,6.099268698,-89.40671196,0,18,0.002105775
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,12,0.638,1.120113527,2.540974542,661.5777982,6.480653842,-88.14570882,0,18,0.002110839
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,13,0.658,1.129913076,2.521169098,653.428959,5.506516008,-87.9668372,0,18,0.002116473
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,14,0.656,1.139924885,2.496375626,652.9832882,4.707815983,-87.04821187,0,18,0.002120855
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,15,0.612,1.147180524,2.464640831,670.422248,5.205761173,-89.88106266,0.066666667,20,0.002128572
6,TRUE,60,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,16,0.622,1.164155575,2.403925728,699.0635263,4.306745584,-87.62826457,0,20,0.002134195
