"BehaviorSpace results (NetLogo 6.2.2)"
"multifirm_baseline.nlogo"
"1-and-2-layer-vary-primary-prod-capacity"
"07/04/2022 23:09:29:635 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","10","0","10"
"[run number]","setup-structure","primary-good-prod-function","max-prod-capacity-per-capita","alpha","layoff-probability","n-firms","index-in-use","firm-competency","transactions-per-month","n-households","mean-new-agreements-per-month","fix-n-framework-agreements?","firm-memory-constant","framework-duration","[step]","unemployment-rate","mean-consumer-demand-not-satisfied","mean-firm-demand-not-satisfied","total-sales","mean-cg-price","mean-pg-price","sd-cg-price","sd-pg-price","mean-current-profit-all-firms","mean-lifetime-profit-all-firms","turnover-rate","bankrupt-firms","mean-age","mean-inventories","household-wealth-concentration","household-wealth-variance","household-wealth-range","gini-coefficient"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","0","0","0","0","49.999999999999986","9.995362521710822","9.995362521710822","0.055265632012056566","0.055265632012056566","0","-100","0","0","0","0.8333333333333331","0.002061453146220016","271.5","75","0.0565340425531915"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","0","0","0","<RuntimePrimitiveException>","300","9.993268249634957","9.993268249634957","0.054655882149499055","0.054655882149499055","0","-100","0","0","0","5","0.0020625848800362224","276.5","75","0.056653191489361765"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","1","0.44399999999999995","0.8381062166363177","0","75","9.995362521710822","9.995362521710822","0.055265632012056566","0.055265632012056566","80.5217396376104","-19.478260362389612","0","0","1","0","0.0020048332467498364","23.366771778802747","24.08537506709925","0.021222457935682337"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","1","0.22199999999999998","0.10207700174179053","<RuntimePrimitiveException>","448.0568652814905","9.993268249634957","9.993268249634957","0.05465588214949906","0.05465588214949906","193.67823183362918","93.67823183362923","0","0","1","0.0647711572836501","0.00205762537919396","274.8340912060013","79.46649163344138","0.060055988893616075"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","2","0.626","0.9555812809661672","0","49.999999999999986","10.196354706750421","10.196354706750421","0.16365872793158384","0.16365872793158384","17.008433399855576","-2.4698269625340328","0","0","2","0","0.0020043971654133226","21.499959449848756","28.178244397683812","0.023032416825528923"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","2","0.02200000000000002","0.441559840933791","<RuntimePrimitiveException>","301.9431347185095","10.232192187225307","10.232192187225307","0.15067093240887622","0.15067093240887622","80.45090021558423","174.12913204921344","0","0","2","0","0.0021903500576647248","897.1750073085053","146.5587509882152","0.1196351825100157"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","3","0.73","0.9462855281454942","0","49.999999999999986","10.349865996436625","10.349865996436625","0.16573889175146322","0.16573889175146322","16.33576277632292","13.865935813788886","0","0","3","0","0.0020073578850249704","36.20636500463601","37.29605571014163","0.03173177250964998"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","3","0","0.595627892547729","<RuntimePrimitiveException>","300","10.384837273497299","10.384837273497299","0.18697222371514363","0.18697222371514363","86.92804233259656","261.05717438181","0","0","3","0","0.0024029409320541597","1897.401264270688","222.82618913885233","0.1727693617803212"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","4","0.774","0.9308382179540852","0","49.999999999999986","10.513721591041243","10.513721591041243","0.15419899094614636","0.15419899094614636","15.395441371803962","29.261377185592842","0","0","4","0","0.002013054530976498","64.41643892965376","54.40941780869048","0.04298707156575565"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","4","0.02400000000000002","0.6628775061706778","<RuntimePrimitiveException>","300","10.5530712576438","10.5530712576438","0.14933554651027758","0.14933554651027758","90.65782023575788","351.71499461756787","0","0","4","0","0.002693834122988007","3273.419084957037","277.61499245686264","0.22249257562362335"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","5","0.794","0.90951077259173","0","49.999999999999986","10.770455407494","10.770455407494","0.1783273986890191","0.1783273986890191","15.348848718079388","44.61022590367224","0","0","5","0","0.00202115611041033","104.52591008797955","67.32572345735531","0.054272111687882374"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","5","0.030000000000000027","0.6947693646012836","<RuntimePrimitiveException>","300","10.72885959390907","10.72885959390907","0.10391523557205413","0.10391523557205413","92.13877410768443","443.8537687252523","0","0","5","0","0.0030565319071619713","4989.209548411995","337.13911751012546","0.27009498155672085"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","6","0.808","0.8947659038572033","0","49.999999999999986","10.899461591049743","10.899461591049743","0.1350641059953268","0.1350641059953268","15.622900439146592","60.23312634281884","0","0","6","0","0.0020325203037568173","160.82069446585194","75.7015969454217","0.06630071854235631"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","6","0.03400000000000003","0.6986091240781832","<RuntimePrimitiveException>","300","10.951722614575807","10.951722614575807","0.17544188407263023","0.17544188407263023","94.46228893450521","538.3160576597575","0","0","6","0","0.003528952028662083","7225.410574051193","410.1102736238851","0.31976383878737336"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","7","0.812","0.8751646300885455","0","49.999999999999986","11.08152565453839","11.08152565453839","0.1438304193633154","0.1438304193633154","15.698336335578757","75.93146267839761","0","0","7","0","0.0020467112909731485","231.07650650719867","90.70309201541116","0.07802328142424719"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","7","0.03600000000000003","0.690453902217202","<RuntimePrimitiveException>","300","11.149781752605447","11.149781752605447","0.18590404929095383","0.18590404929095383","96.57345528534988","634.8895129451072","0","0","7","0","0.0040829512559029","9849.87496971846","491.50701331076624","0.3682811267872268"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","8","0.040000000000000036","0.6665116562676111","<RuntimePrimitiveException>","300","11.34702974553087","11.34702974553087","0.1840563664658684","0.1840563664658684","98.86129836571558","733.750811310823","0","0","8","0","0.004697165342711208","12764.879027996141","553.2022023499987","0.41525131480558053"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","8","0.8160000000000001","0.8653499726993907","0","49.999999999999986","11.273238430175796","11.273238430175796","0.18068408040206538","0.18068408040206538","16.091022979702878","92.02248565810045","0","0","8","0","0.002064077372217097","317.08423779442273","103.31242015715304","0.08960792216640301"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","9","0.8200000000000001","0.8469036085767543","0","49.999999999999986","11.486934870292936","11.486934870292936","0.195123481398764","0.195123481398764","16.549870517341148","108.57235617544163","0","0","9","0","0.0020831204985022047","411.45521012565627","120.84135480198711","0.09991514362686571"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","9","0.040000000000000036","0.6376410726583455","<RuntimePrimitiveException>","300","11.574209493324311","11.574209493324311","0.14267916734748703","0.14267916734748703","101.12754927826882","834.8783605890918","0","0","9","0","0.005401252317862289","16105.83625942625","612.5261195771666","0.4611117599265899"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","10","0.8200000000000001","0.8364797905263077","0","49.999999999999986","11.656740906953996","11.656740906953996","0.20883033461924944","0.20883033461924944","16.726328823321428","125.29868499876306","0","0","10","0","0.0021055408594811754","522.4870686898012","133.62249212196113","0.11046503136707364"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","10","0.040000000000000036","0.6094581691316207","<RuntimePrimitiveException>","300","11.69751583812856","11.69751583812856","0.13242590224605957","0.13242590224605957","102.38643407734183","937.2647946664337","0","0","10","0","0.006161293040482283","19712.57609287609","670.957560863147","0.5051577281845478"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","11","0.040000000000000036","0.5741158885552401","<RuntimePrimitiveException>","300","11.956824369102485","11.956824369102485","0.16453245489374457","0.16453245489374457","105.14732114117042","1042.412115807604","0","0","11","0","0.00700529586366943","23721.842316237588","755.3436925046003","0.5485478250714879"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","11","0.8200000000000001","0.8215385098397594","0","49.999999999999986","11.873583099930427","11.873583099930427","0.21080009694979124","0.21080009694979124","17.116913627524923","142.41559862628802","0","0","11","0","0.0021307515946983736","647.3575111097066","154.53216363056268","0.1208385362302018"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","12","0.040000000000000036","0.5303509580003897","<RuntimePrimitiveException>","300","12.148393178130652","12.148393178130652","0.17254024177774643","0.17254024177774643","107.17066077371506","1149.5827765813192","0","0","12","0","0.00791054644743095","28024.6115821755","809.4269179733187","0.5906815252306938"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","12","0.8200000000000001","0.808613171707185","0","49.999999999999986","12.034768691689878","12.034768691689878","0.20851365435915806","0.20851365435915806","17.39804475657989","159.81364338286784","0","0","12","0","0.002161425675394962","799.2902825767864","167.5111257076544","0.1322500822054895"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","13","0.8200000000000001","0.7962479813524498","0","49.999999999999986","12.20690538137079","12.20690538137079","0.16250736871059515","0.16250736871059515","17.71344085246164","177.52708423532945","0","0","13","0","0.002194037774916643","960.8515190259964","179.86586499504608","0.1422891181319892"
