BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Varying-productivity,,,,,,,,,,,,,,,,,,,,,,,
06/03/2022 16:30:50:263 -0500,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,1.000265967,0,787.4672076,0,-100,0,0,0.002060321
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.356,1.000228984,1.245374374,1224.480585,1.083333333,-98.91666667,0.033333333,1,0.00205901
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.494,1.015965369,2.277025925,892.9159619,1.404566157,-98.59543384,0.066666667,3,0.002062335
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.556,1.023497404,2.55044332,755.6303857,3.045064557,-96.95493544,0.1,6,0.00206818
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.548,1.029949499,2.614346291,794.1907105,3.42718399,-96.57281601,0.133333333,10,0.002078183
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.57,1.038549083,2.647602376,823.6321608,3.757902993,-94.80322668,0,10,0.002079282
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.592,1.046004126,2.730010506,747.5283283,4.568779508,-93.99235016,0,10,0.00208069
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.606,1.056265768,2.736901555,696.8076796,6.288859361,-91.4613938,0.066666667,12,0.002085389
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.61,1.066739892,2.702774571,625.2614337,6.199298275,-90.30936569,0.033333333,13,0.002088537
5,TRUE,50,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.658,1.078651887,2.665019307,613.8697503,6.228067586,-89.12856827,0.033333333,14,0.002093171
