BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Varying-productivity,,,,,,,,,,,,,,,,,,,,,,,
06/03/2022 16:30:50:263 -0500,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,0.999564415,0,148.394647,0,-100,0,0,0.002063151
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.466,0.999251156,2.693808327,303.5087892,2.958333333,-97.04166667,0.033333333,1,0.002058429
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.83,0.998992792,3.016287658,277.335891,43.68229161,-56.31770839,0.466666667,15,0.002056069
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.838,1.003481137,3.050600296,197.3718561,49.27409192,-50.72590808,0.066666667,17,0.002056369
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.882,1.006959169,3.01996907,205.1735176,54.99639323,-44.55340989,0.133333333,21,0.002056384
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.896,1.015985843,3.022965138,185.1261467,49.44164265,-44.017995,0,21,0.002057359
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.898,1.029163087,2.988347313,169.4514849,57.64947522,-38.96903598,0.1,24,0.002058151
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.906,1.041190029,2.933249215,167.3901621,65.91635944,-31.1020378,0.133333333,28,0.002059849
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.91,1.054242684,2.912220279,153.4859889,68.7749506,-28.24344665,0.033333333,29,0.00206164
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.926,1.071998587,2.846477249,112.6383039,65.94750064,-28.19459025,0.133333333,33,0.002063102
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,10,0.92,1.079444415,2.792978566,123.6535414,71.64332248,-22.39102846,0.1,36,0.002065144
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,11,0.918,1.08998738,2.763325086,148.0527292,74.59842264,-22.39645615,0.066666667,38,0.002067729
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,12,0.92,1.105404731,2.730829101,140.9473591,72.17553516,-21.75914642,0,38,0.002069345
1,TRUE,10,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,13,0.926,1.117424724,2.687982493,142.6363617,75.10748095,-21.68473939,0.066666667,40,0.002071702
