BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,
multifirm_baseline.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Varying-productivity,,,,,,,,,,,,,,,,,,,,,,,
06/03/2022 16:30:50:263 -0500,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,10,0,10,,,,,,,,,,,,,,,,,,,,
[run number],use-land?,max-productive-capacity,layoff-probability,n-firms,index-in-use,firm-competency,transactions-per-month,n-households,setup-structure,mean-new-agreements-per-month,fix-n-framework-agreements?,firm-memory-constant,framework-duration,[step],unemployment-rate,mean-price-all-firms,mean-consumer-demand-not-satisfied,total-sales,mean-current-profit-all-firms,mean-lifetime-profit-all-firms,turnover-rate,bankrupt-firms,household-wealth-concentration
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,0,0,1.001803281,0,1616.119891,0,-100,0,0,0.002062585
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,1,0.282,1.001983429,0.218848859,1833.38321,0,-100,0.033333333,1,0.002062131
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,2,0.324,1.021033867,1.996630167,817.0833096,0,-100,0.066666667,3,0.002064829
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,3,0.456,1.036560719,2.371867695,918.6401304,0.728210812,-99.27178919,0.033333333,4,0.002067064
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,4,0.534,1.054673308,2.612759994,737.6818239,1.325119677,-97.94666951,0.066666667,6,0.00207033
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,5,0.588,1.069540776,2.641630923,666.3327998,1.472906284,-97.7988829,0.033333333,7,0.002073355
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,6,0.596,1.086180051,2.628730525,608.0599869,0.719713981,-97.07916892,0.1,10,0.002081653
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,7,0.616,1.096857765,2.557045805,722.4026536,3.638609536,-93.44055939,0.066666667,12,0.00208569
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,8,0.616,1.107109855,2.545489241,738.2017658,4.010391545,-92.28307015,0,12,0.002087998
11,TRUE,110,0.5,30,no index,0,1,500,two-layer,2,FALSE,0.8,24,9,0.628,1.121641055,2.528217232,723.0824966,6.132688319,-91.34967341,0.033333333,13,0.002092646
